id,nombre,descripcion,fecha_inicio,fecha_fin,presupuesto,estado
1,Plataforma de Gestión Empresarial,Sistema de gestión de recursos empresariales para mejorar la eficiencia operativa,13-10-2023,17-04-2025,42931805,Cancelado
2,Sistema de Planificación de Recursos,Desarrollo de un sistema avanzado de planificación de recursos empresariales,17-07-2023,18-05-2025,642055083,Activo
3,Sistema de Información Epidemiológica,Plataforma para el seguimiento y análisis de datos epidemiológicos,14-06-2023,02-02-2024,850312588,Finalizado
4,Red de Transporte Público,Mejora y ampliación de la infraestructura de transporte público,30-03-2023,24-07-2023,937383174,Cancelado
5,Royal Guard Tales,La mejor obra de ficción jamas creada.,06-06-2021,03-02-2030,149912234,Finalizado
6,Laboratorio de Microbiología,Investigación y desarrollo en microbiología aplicada,13-07-2023,07-10-2025,325746996,Activo
7,Planificación de Sucesión,Desarrollo de un sistema para la planificación de la sucesión en empresas,01-01-2023,20-05-2023,231786436,Activo
8,Sistema de Gestión de Documentos,Desarrollo de un sistema para la gestión y archivo de documentos,06-09-2023,19-05-2023,65296214,Finalizado
9,Investigación de Trastornos del Sueño,Estudio y tratamiento de diversos trastornos del sueño,23-05-2023,03-08-2023,555060646,Cancelado
10,Sistema de Incendios Extremo,Desarrollo de un sistema avanzado de prevención y control de incendios,14-02-2023,03-04-2023,240045465,Activo
11,Innovación en Energía,Desarrollo de tecnologías limpias y renovables,20-06-2023,10-11-2024,934515444,Cancelado
12,Sistema de Gestión Financiera,Implementación de un sistema financiero avanzado,18-08-2023,09-07-2024,764423509,Finalizado
13,Red de Agua Potable,Mejora en la distribución de agua potable,12-03-2023,01-06-2023,618347280,Cancelado
14,Sistema de Educación en Línea,Desarrollo de una plataforma educativa digital,25-07-2023,14-05-2024,473850937,Activo
15,Automatización Industrial,Implementación de sistemas de automatización en fábricas,19-05-2023,30-04-2024,982173102,Finalizado
16,Control de Calidad,Desarrollo de un sistema avanzado de control de calidad,28-04-2023,22-02-2024,553601895,Activo
17,Investigación Biomédica,Estudios y desarrollo en el campo biomédico,11-11-2023,09-08-2025,741120834,Finalizado
18,Telecomunicaciones 5G,Despliegue de infraestructura 5G,23-06-2023,15-11-2024,615723590,Activo
19,Seguridad Cibernética,Desarrollo de sistemas avanzados de seguridad informática,07-01-2023,22-10-2023,839417534,Finalizado
20,Aplicación de Salud,Desarrollo de una app para seguimiento de la salud,14-04-2023,29-09-2023,769810227,Cancelado
21,Transporte Sustentable,Desarrollo de un sistema de transporte ecológico,03-07-2023,17-12-2024,528900751,Finalizado
22,Investigación en IA,Estudios avanzados en inteligencia artificial,30-01-2023,05-10-2023,942130543,Activo
23,Desarrollo Urbano Sostenible,Proyectos de urbanismo sostenible,22-03-2023,12-08-2023,815347289,Cancelado
24,Red de Internet Rural,Implementación de internet en zonas rurales,10-02-2023,21-06-2023,685213499,Finalizado
25,Monitorización Ambiental,Desarrollo de sistemas para monitorizar el medio ambiente,07-09-2023,05-01-2024,595214707,Activo
26,Almacenamiento de Energía,Investigación en tecnologías de almacenamiento energético,12-04-2023,08-11-2023,962145712,Cancelado
27,Plataforma de Comercio Electrónico,Desarrollo de una plataforma avanzada de e-commerce,18-08-2023,25-03-2024,785613490,Finalizado
28,Centro de Datos,Construcción y puesta en marcha de un centro de datos,20-06-2023,10-02-2024,839412670,Cancelado
29,Red de Energía Eléctrica,Mejora de la infraestructura eléctrica,15-03-2023,02-09-2023,512347980,Activo
